time,precip
2008-05-01,52.805496
2008-06-01,52.392803
2008-07-01,17.005047
2008-08-01,46.728443
2008-09-01,13.556788
2008-10-01,96.83284
2008-11-01,276.3626
2008-12-01,405.81747
2009-01-01,405.70306
2009-02-01,291.70267
2009-03-01,175.75539
2009-04-01,131.46803
2009-05-01,203.23492
2009-06-01,129.9852
2009-07-01,36.939835
2009-08-01,6.2709804
2009-09-01,10.845751
2009-10-01,59.894096
2009-11-01,219.03317
2009-12-01,161.97786
2010-01-01,383.35547
2010-02-01,286.9388
2010-03-01,368.45944
2010-04-01,190.17961
2010-05-01,305.95377
2010-06-01,195.39528
2010-07-01,161.4571
2010-08-01,143.0901
2010-09-01,97.44224
2010-10-01,190.35405
2010-11-01,210.25394
2010-12-01,276.9608
2011-01-01,351.43906
2011-02-01,215.19719
2011-03-01,253.76581
2011-04-01,222.40378
2011-05-01,135.21959
2011-06-01,77.43854
2011-07-01,29.04617
2011-08-01,6.019781
2011-09-01,4.5226994
2011-10-01,64.76059
2011-11-01,286.68323
2011-12-01,324.83304
2012-01-01,323.2348
2012-02-01,239.02931
2012-03-01,253.49586
2012-04-01,155.27364
2012-05-01,99.854996
2012-06-01,79.25162
2012-07-01,21.94134
2012-08-01,13.608394
2012-09-01,6.083696
2012-10-01,68.13472
2012-11-01,242.44351
2012-12-01,378.16492
2013-01-01,536.4567
2013-02-01,247.50992
2013-03-01,263.0212
2013-04-01,203.1155
2013-05-01,293.2109
2013-06-01,174.11526
2013-07-01,194.57294
2013-08-01,29.378796
2013-09-01,14.704128
2013-10-01,45.166927
2013-11-01,173.90564
2013-12-01,426.9343
2014-01-01,668.3844
2014-02-01,320.72302
2014-03-01,214.64749
2014-04-01,205.99852
2014-05-01,100.06289
2014-06-01,151.35251
2014-07-01,177.55238
2014-08-01,14.108443
2014-09-01,3.8480806
2014-10-01,14.916224
2014-11-01,179.90454
2014-12-01,358.88657
2015-01-01,270.09036
2015-02-01,332.1953
2015-03-01,242.6782
2015-04-01,216.17819
2015-05-01,67.839966
2015-06-01,20.126194
2015-07-01,14.668641
2015-08-01,9.384863
2015-09-01,4.1740685
2015-10-01,8.580104
2015-11-01,106.60573
2015-12-01,228.64531
2016-01-01,248.44989
2016-02-01,383.66934
2016-03-01,246.10323
2016-04-01,245.43956
2016-05-01,214.45009
2016-06-01,243.89493
2016-07-01,155.89603
2016-08-01,93.70213
2016-09-01,119.85846
2016-10-01,180.94681
2016-11-01,502.93594
2016-12-01,210.99286
2017-01-01,389.84982
2017-02-01,316.7942
2017-03-01,223.92503
2017-04-01,212.5075
2017-05-01,183.5218
2017-06-01,141.77399
2017-07-01,52.219627
2017-08-01,16.17734
2017-09-01,29.097221
2017-10-01,88.87836
2017-11-01,396.67908
2017-12-01,279.9378
2018-01-01,246.04594
2018-02-01,377.41257
2018-03-01,298.54343
2018-04-01,141.19318
2018-05-01,117.63429
2018-06-01,71.87853
2018-07-01,11.311251
2018-08-01,8.408755
2018-09-01,11.334329
2018-10-01,19.861835
2018-11-01,231.11679
2018-12-01,213.3657
2019-01-01,346.30148
2019-02-01,269.03964
2019-03-01,333.65793
2019-04-01,208.46179
2019-05-01,56.898163
2019-06-01,58.55531
2019-07-01,15.017809
2019-08-01,9.58359
2019-09-01,2.8052063
2019-10-01,8.835362
2019-11-01,85.78439
2019-12-01,267.70978
2020-01-01,307.6767
2020-02-01,369.40326
2020-03-01,317.15134
2020-04-01,207.34299
2020-05-01,173.24712
2020-06-01,64.970634
2020-07-01,88.14968
2020-08-01,31.736664
